directed_rnbrw,backtrack,directed_cycle,zigzag,zigzag_cycle,weighted_zigzag
0.01,0.01,11.01,2.01,22.009999999999998,1.5428754578754578
7.01,0.01,19.009999999999998,2.01,15.01,1.1397546897546897
0.01,0.01,16.009999999999998,3.01,18.009999999999998,1.0742246642246642
0.01,0.01,16.009999999999998,1.01,10.01,0.4754509827090472
2.01,0.01,12.01,1.01,12.01,1.5978136200716846
0.01,0.01,10.01,1.01,8.01,1.2409148438943833
0.01,0.01,11.01,1.01,18.009999999999998,0.8594306418219461
0.01,0.01,12.01,2.01,14.01,1.6532539682539684
1.01,0.01,11.01,1.01,19.009999999999998,0.8867424242424242
0.01,0.01,7.01,1.01,14.01,1.2111904761904762
1.01,0.01,10.01,3.01,13.01,0.9929415915154455
0.01,0.01,7.01,2.01,18.009999999999998,1.5604901960784314
0.01,0.01,11.01,1.01,15.01,0.4326190476190476
2.01,0.01,8.01,2.01,19.009999999999998,0.7757004830917874
0.01,2.01,16.009999999999998,2.01,15.01,1.8921789321789322
0.01,1.01,6.01,1.01,11.01,0.8854592046212939
0.01,0.01,6.01,1.01,15.01,0.1211111111111111
1.01,1.01,8.01,2.01,13.01,0.6688235294117646
5.01,1.01,8.01,0.01,21.009999999999998,1.6440349426087963
4.01,2.01,9.01,1.01,14.01,1.4964468864468863
0.01,0.01,12.01,2.01,19.009999999999998,0.8365623265623267
0.01,0.01,7.01,1.01,20.009999999999998,1.3012698412698411
0.01,0.01,4.01,2.01,16.009999999999998,2.271446886446886
0.01,1.01,6.01,2.01,18.009999999999998,1.2137037037037037
0.01,0.01,2.01,2.01,13.01,1.2876315789473685
1.01,1.01,8.01,5.01,19.009999999999998,0.8783473389355742
2.01,0.01,8.01,1.01,13.01,0.48840025471604415
1.01,1.01,1.01,0.01,11.01,0.23237762237762238
0.01,1.01,10.01,1.01,12.01,0.5090620938201583
0.01,0.01,6.01,1.01,11.01,0.6221212121212121
1.01,0.01,3.01,2.01,13.01,0.5720199692780338
0.01,0.01,8.01,3.01,14.01,0.6435821041703396
1.01,1.01,9.01,2.01,12.01,1.2252346907142302
0.01,0.01,17.009999999999998,0.01,23.009999999999998,1.39525641025641
1.01,0.01,8.01,1.01,18.009999999999998,1.7158626014508362
0.01,0.01,9.01,3.01,21.009999999999998,1.7058032708032704
0.01,0.01,8.01,0.01,18.009999999999998,0.8404093567251462
0.01,0.01,4.01,1.01,19.009999999999998,0.39596491228070174
0.01,0.01,8.01,0.01,13.01,1.3071201212580523
0.01,0.01,3.01,2.01,17.009999999999998,1.0647979797979799
0.01,2.01,7.01,0.01,22.009999999999998,1.1020024420024421
0.01,2.01,7.01,1.01,8.01,1.0762393162393162
0.01,0.01,6.01,2.01,15.01,1.378073593073593
4.01,1.01,9.01,2.01,16.009999999999998,0.5608228330808976
3.01,2.01,7.01,0.01,15.01,1.2138942052099946
1.01,0.01,7.01,0.01,16.009999999999998,1.0416666666666667
1.01,1.01,7.01,3.01,15.01,0.5726984126984127
1.01,0.01,7.01,1.01,14.01,1.0644497617078261
1.01,0.01,6.01,1.01,13.01,0.59743894993895
0.01,0.01,12.01,0.01,16.009999999999998,1.3376734376734376
0.01,0.01,7.01,1.01,10.01,0.6618576316156961
1.01,0.01,10.01,2.01,8.01,0.9417460317460316
0.01,0.01,13.01,0.01,20.009999999999998,1.5476373626373625
0.01,0.01,11.01,2.01,23.009999999999998,1.3151528944911297
0.01,0.01,14.01,3.01,19.009999999999998,1.748311688311688
0.01,0.01,12.01,1.01,15.01,1.0433800186741362
0.01,0.01,15.01,3.01,12.01,1.7935830835830833
0.01,0.01,12.01,0.01,13.01,0.9938184476342372
2.01,1.01,8.01,3.01,21.009999999999998,1.6139272030651342
4.01,3.01,15.01,2.01,21.009999999999998,1.0850272331154682
6.01,0.01,13.01,3.01,14.01,1.2933800186741362
2.01,0.01,14.01,1.01,12.01,1.5067948717948716
1.01,0.01,17.009999999999998,4.01,14.01,0.5446611721611722
0.01,2.01,13.01,1.01,14.01,1.5509090909090906
0.01,1.01,16.009999999999998,6.01,18.009999999999998,0.7290476190476189
0.01,0.01,13.01,3.01,17.009999999999998,0.42666666666666664
0.01,0.01,11.01,1.01,17.009999999999998,0.9500183150183149
0.01,0.01,7.01,2.01,19.009999999999998,0.8949206349206349
0.01,2.01,13.01,3.01,17.009999999999998,0.8266666666666667
0.01,0.01,12.01,1.01,17.009999999999998,0.820822926008348
0.01,0.01,16.009999999999998,1.01,18.009999999999998,0.7341762866762868
1.01,1.01,13.01,0.01,6.01,0.8734688840571194
2.01,0.01,4.01,2.01,16.009999999999998,0.6678504828504829
1.01,2.01,12.01,0.01,16.009999999999998,0.5713847444729798
0.01,0.01,8.01,4.01,10.01,0.8796428571428572
1.01,1.01,15.01,0.01,6.01,0.8320238095238095
0.01,1.01,12.01,4.01,14.01,0.7401910507792862
6.01,1.01,11.01,2.01,11.01,1.7907187981101023
0.01,0.01,12.01,6.01,17.009999999999998,1.8261075036075034
0.01,0.01,6.01,2.01,21.009999999999998,0.8912379649336171
1.01,0.01,9.01,2.01,21.009999999999998,2.387946127946128
0.01,1.01,12.01,1.01,25.009999999999998,0.5631135531135532
3.01,0.01,8.01,3.01,28.009999999999998,0.6266666666666667
0.01,0.01,9.01,1.01,25.009999999999998,1.3227344877344878
0.01,0.01,4.01,3.01,12.01,0.4004761904761905
0.01,0.01,10.01,0.01,16.009999999999998,1.8969875222816397
0.01,0.01,18.009999999999998,1.01,14.01,0.44051529790660227
0.01,0.01,11.01,1.01,19.009999999999998,1.1226753993133303
1.01,0.01,17.009999999999998,5.01,20.009999999999998,0.33554824561403507
0.01,0.01,9.01,1.01,13.01,1.3384241121197642
2.01,0.01,17.009999999999998,0.01,20.009999999999998,1.291245069224609
0.01,1.01,3.01,0.01,16.009999999999998,0.39869047619047615
6.01,1.01,7.01,1.01,18.009999999999998,1.9812842712842713
2.01,0.01,3.01,4.01,16.009999999999998,1.0973015873015872
0.01,1.01,10.01,3.01,15.01,0.2211111111111111
4.01,2.01,6.01,1.01,14.01,0.3359230965113318
2.01,1.01,11.01,1.01,13.01,1.0683692213487612
3.01,0.01,11.01,2.01,15.01,0.8266138385178632
1.01,2.01,5.01,2.01,17.009999999999998,0.9565183373502558
0.01,0.01,6.01,0.01,22.009999999999998,0.6084487734487735
2.01,0.01,5.01,2.01,13.01,0.3741414141414141
2.01,0.01,7.01,2.01,16.009999999999998,0.881106966695202
0.01,0.01,6.01,1.01,16.009999999999998,1.5629761904761903
0.01,1.01,5.01,1.01,13.01,0.9271619463240356
0.01,0.01,9.01,1.01,17.009999999999998,0.5979851143009037
0.01,0.01,3.01,1.01,16.009999999999998,1.316821833137623
2.01,0.01,8.01,0.01,16.009999999999998,0.561923076923077
1.01,0.01,9.01,0.01,21.009999999999998,0.8575991561730103
0.01,0.01,3.01,1.01,23.009999999999998,0.6721212121212121
2.01,0.01,3.01,0.01,14.01,0.6599999999999999
1.01,0.01,7.01,1.01,21.009999999999998,1.2480952380952381
0.01,1.01,6.01,1.01,24.009999999999998,1.0784435447593341
2.01,1.01,4.01,1.01,18.009999999999998,0.7608870214752569
0.01,2.01,6.01,4.01,17.009999999999998,1.0177581391541346
1.01,0.01,6.01,2.01,14.01,1.1479490392648286
3.01,0.01,8.01,2.01,21.009999999999998,0.7749331662489557
0.01,0.01,12.01,2.01,12.01,0.7605804284267282
1.01,1.01,3.01,1.01,23.009999999999998,0.9509090909090909
1.01,1.01,4.01,2.01,17.009999999999998,0.7151035976693871
2.01,1.01,2.01,1.01,14.01,1.2066791979949874
0.01,0.01,2.01,2.01,19.009999999999998,0.7355482456140351
0.01,0.01,3.01,3.01,19.009999999999998,0.8077124183006537
0.01,2.01,6.01,1.01,25.009999999999998,1.3612426900584795
1.01,3.01,1.01,0.01,20.009999999999998,0.9377777777777776
0.01,0.01,2.01,0.01,16.009999999999998,0.6427960927960927
0.01,1.01,2.01,2.01,21.009999999999998,1.5274954674954673
0.01,0.01,2.01,2.01,23.009999999999998,0.8216013071895423
0.01,1.01,7.01,1.01,11.01,1.1316200466200466
0.01,1.01,4.01,0.01,14.01,0.6028571428571429
2.01,1.01,5.01,1.01,17.009999999999998,0.17025641025641025
0.01,0.01,3.01,1.01,13.01,0.41
0.01,0.01,4.01,1.01,15.01,1.7324673202614378
1.01,1.01,2.01,3.01,24.009999999999998,0.7846031746031746
1.01,2.01,3.01,3.01,18.009999999999998,0.8381135531135531
0.01,2.01,1.01,0.01,16.009999999999998,0.9917228604728604
0.01,0.01,3.01,1.01,12.01,0.2441269841269841
0.01,1.01,3.01,1.01,6.01,0.9901222651222651
0.01,0.01,0.01,0.01,12.01,0.7345421245421244
0.01,0.01,4.01,0.01,19.009999999999998,1.0806422662305015
0.01,0.01,5.01,1.01,20.009999999999998,0.6377023629964806
0.01,0.01,2.01,2.01,13.01,0.45943599061246115
0.01,0.01,3.01,0.01,13.01,0.5422802197802198
0.01,1.01,3.01,0.01,14.01,0.9602164502164501
0.01,0.01,1.01,2.01,17.009999999999998,0.8737286324786324
1.01,1.01,6.01,0.01,13.01,0.9326190476190477
2.01,1.01,4.01,0.01,25.009999999999998,0.713912753912754
0.01,1.01,7.01,0.01,13.01,0.94326816552623
0.01,0.01,4.01,2.01,14.01,0.3154734537493158
0.01,2.01,8.01,1.01,19.009999999999998,0.38314439946018897
1.01,0.01,4.01,2.01,20.009999999999998,0.9342782665363311
1.01,0.01,6.01,1.01,13.01,0.9589235955615266
2.01,1.01,10.01,0.01,21.009999999999998,0.7086291486291486
2.01,2.01,3.01,2.01,13.01,1.2787044845364028
1.01,0.01,5.01,1.01,11.01,0.7383115208637031
0.01,1.01,5.01,1.01,18.009999999999998,0.5564285714285714
0.01,1.01,4.01,1.01,16.009999999999998,0.6459649122807017
2.01,2.01,2.01,0.01,13.01,1.220207336523126
1.01,0.01,6.01,1.01,22.009999999999998,1.2527960927960926
0.01,1.01,9.01,1.01,9.01,0.6037576312576312
1.01,1.01,7.01,1.01,18.009999999999998,0.884451447245565
0.01,0.01,12.01,0.01,21.009999999999998,1.381126096126096
0.01,0.01,6.01,2.01,22.009999999999998,1.4440554081933392
1.01,0.01,6.01,0.01,12.01,1.3855311738070357
2.01,1.01,8.01,1.01,14.01,1.4933333333333334
2.01,0.01,3.01,0.01,22.009999999999998,1.3493310354048893
2.01,1.01,10.01,0.01,28.009999999999998,1.335667388167388
1.01,3.01,17.009999999999998,1.01,24.009999999999998,1.172562845651081
0.01,5.01,12.01,3.01,27.009999999999998,1.0974365830248183
0.01,1.01,2.01,2.01,10.01,0.5310313010834833
3.01,1.01,4.01,1.01,13.01,0.4152881758764112
0.01,1.01,5.01,0.01,16.009999999999998,0.721050061050061
0.01,0.01,4.01,1.01,14.01,2.4552871650452297
0.01,0.01,9.01,0.01,14.01,1.746383442265795
0.01,0.01,3.01,1.01,18.009999999999998,1.189907489311514
2.01,2.01,3.01,0.01,17.009999999999998,0.8202564102564103
1.01,0.01,10.01,2.01,12.01,0.7311611917494271
1.01,0.01,7.01,0.01,13.01,1.270714285714286
0.01,0.01,3.01,0.01,10.01,0.2123809523809524
1.01,1.01,3.01,0.01,19.009999999999998,0.318578431372549
0.01,0.01,6.01,0.01,14.01,0.38763157894736844
0.01,0.01,5.01,0.01,15.01,0.9291303794244969
0.01,1.01,9.01,0.01,17.009999999999998,0.7101984126984127
4.01,2.01,18.009999999999998,0.01,21.009999999999998,0.4822222222222222
3.01,2.01,14.01,0.01,15.01,1.3212484737484738
2.01,3.01,12.01,0.01,10.01,1.242969807969808
3.01,1.01,12.01,2.01,10.01,1.7702564102564102
1.01,2.01,9.01,3.01,18.009999999999998,1.4442333553072093
2.01,1.01,8.01,0.01,19.009999999999998,0.9002689415847309
1.01,1.01,9.01,0.01,16.009999999999998,0.5568253968253969
4.01,0.01,12.01,0.01,19.009999999999998,1.2941991789572433
2.01,2.01,8.01,0.01,12.01,0.47111111111111115
0.01,0.01,0.01,1.01,19.009999999999998,0.8345781995781996
0.01,0.01,0.01,0.01,16.009999999999998,1.389682327476445
0.01,0.01,0.01,1.01,18.009999999999998,0.798615061409179
0.01,0.01,2.01,1.01,21.009999999999998,0.570584268672504
0.01,1.01,1.01,1.01,16.009999999999998,0.7616402116402116
0.01,0.01,0.01,1.01,12.01,0.5050315425315426
0.01,0.01,0.01,2.01,15.01,0.14025210084033612
0.01,0.01,0.01,0.01,23.009999999999998,0.2758119658119658
0.01,1.01,1.01,3.01,12.01,1.435714285714286
0.01,0.01,1.01,1.01,9.01,1.050095525389643
0.01,1.01,0.01,1.01,12.01,0.6448849983501566
0.01,0.01,1.01,0.01,14.01,0.3630725022104333
0.01,0.01,0.01,0.01,18.009999999999998,1.8475360750360745
0.01,1.01,1.01,1.01,16.009999999999998,0.7230341880341882
0.01,0.01,0.01,0.01,17.009999999999998,0.6937881562881563
0.01,0.01,0.01,2.01,14.01,0.7023597020090708
0.01,0.01,2.01,2.01,18.009999999999998,0.6698901098901099
0.01,1.01,1.01,1.01,17.009999999999998,0.3439646464646464
0.01,1.01,0.01,1.01,13.01,0.7947744360902255
1.01,0.01,0.01,0.01,12.01,0.5327295580236757
0.01,0.01,1.01,1.01,12.01,0.7034454434454435
1.01,0.01,0.01,1.01,11.01,1.2028378022698507
0.01,1.01,0.01,0.01,26.009999999999998,0.39325396825396824
0.01,0.01,1.01,0.01,17.009999999999998,0.42109674639086403
0.01,0.01,2.01,1.01,17.009999999999998,0.6220255192835838
1.01,1.01,4.01,0.01,7.01,0.8061722488038278
0.01,0.01,1.01,0.01,20.009999999999998,1.0266666666666666
0.01,0.01,8.01,0.01,12.01,1.1821693940734186
3.01,1.01,2.01,3.01,18.009999999999998,0.38179487179487176
1.01,2.01,8.01,0.01,17.009999999999998,1.9820238095238092
0.01,1.01,4.01,3.01,18.009999999999998,0.7956837606837606
0.01,0.01,4.01,0.01,18.009999999999998,0.3202564102564103
2.01,1.01,6.01,1.01,9.01,1.147708578054878
0.01,0.01,6.01,2.01,15.01,1.349485031876336
0.01,0.01,5.01,1.01,18.009999999999998,1.0968742368742368
0.01,0.01,3.01,2.01,8.01,0.8532571465571669
2.01,0.01,3.01,0.01,13.01,0.7627472527472527
2.01,0.01,4.01,0.01,20.009999999999998,1.2199206349206348
3.01,0.01,4.01,1.01,12.01,0.3998809523809524
0.01,0.01,4.01,2.01,22.009999999999998,0.9443365597902803
0.01,0.01,5.01,0.01,9.01,1.3528571428571428
0.01,0.01,6.01,0.01,16.009999999999998,0.42252587991718427
0.01,0.01,3.01,1.01,13.01,0.88500555000555
0.01,0.01,4.01,2.01,16.009999999999998,0.8577124183006535
0.01,0.01,5.01,0.01,29.009999999999998,0.7508730158730159
0.01,0.01,4.01,0.01,16.009999999999998,0.839631887720123
0.01,0.01,5.01,0.01,22.009999999999998,0.44336565395388927
0.01,1.01,1.01,2.01,16.009999999999998,0.9668602005672944
1.01,0.01,6.01,1.01,18.009999999999998,0.9557501280081926
0.01,0.01,2.01,1.01,18.009999999999998,0.8992246642246642
0.01,0.01,3.01,0.01,15.01,0.34337623337623335
0.01,0.01,2.01,3.01,14.01,0.9901587301587302
0.01,1.01,4.01,1.01,24.009999999999998,0.9128250423411713
0.01,0.01,8.01,2.01,14.01,1.6804679378592422
0.01,0.01,6.01,0.01,13.01,0.6584927356421044
0.01,0.01,3.01,2.01,20.009999999999998,1.683835403726708
0.01,0.01,2.01,1.01,19.009999999999998,0.5491950440863484
0.01,0.01,0.01,0.01,14.01,1.9356493954074598
0.01,0.01,3.01,1.01,14.01,0.7009090909090909
2.01,0.01,11.01,0.01,13.01,0.6789935064935064
0.01,1.01,11.01,0.01,18.009999999999998,1.285829725829726
0.01,0.01,20.009999999999998,2.01,26.009999999999998,0.988950103950104
0.01,2.01,9.01,2.01,21.009999999999998,0.9839991003148898
0.01,1.01,8.01,2.01,21.009999999999998,1.4286868686868688
0.01,0.01,9.01,1.01,15.01,1.0687662337662338
0.01,0.01,13.01,1.01,12.01,0.8170063993977037
0.01,1.01,14.01,3.01,14.01,1.4753957153957153
0.01,1.01,6.01,1.01,17.009999999999998,0.71
0.01,0.01,18.009999999999998,2.01,11.01,0.8306850012732367
0.01,0.01,12.01,2.01,16.009999999999998,2.0312301587301587
2.01,0.01,15.01,5.01,14.01,1.6432400932400932
4.01,1.01,14.01,2.01,17.009999999999998,2.854444444444445
